PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
GA3130000,14857,502,HAA5,2.315,2.6875,0.18425,0,20.325,0,1.79,0,19.3575
GU0000003,99001,DS002,HAA5,7.35,2.2,1.8175,4.38,9.7,0.9275,0,0,6.2075
GU0000006,99001,DBP01,HAA5,2.4,0,0.95,4.4,1.2,0,0,0,0
GU0000010,67101,DS001,HAA5,4.9,4.5,1.2075,1.2175,11.5,0,0,0,9.925
HI0000101,901,101901,HAA5,0,0,0,0,0,0,0,0,0
HI0000108,30001,DS1,HAA5,0.68,0,0,0.8,0.295,0,0,0,0
HI0000129,30001,DS1,HAA5,0,0,0,0,0,0,0,0,0
HI0000131,908,131908,HAA5,0.5,0,0.365,0.635,0.305,0,0,1.3,0
HI0000135,901,135DS901,HAA5,0,0,0,1.08,0.5,0,0,0,0
HI0000212,21204,212911,HAA5,0.639666667,0,0.435333333,2.506666667,0,0,0,0.866666667,0
HI0000213,21303,213909,HAA5,3.2,1.975,0.4125,0.705,24.125,0,2.675,0,19.025
HI0000214,21404,214913,HAA5,2.475,4.35,0.9775,0.7975,7.25,0.345,1.025,0.575,14.7
HI0000331,99004,331911,HAA5,0,0,0,0.623,0,0,0,0,0
HI0000332,99021,332902,HAA5,0,0,0,0,0.155,0,0,0,0
HI0000333,99023,333908,HAA5,0,0,0,0.395,0.14,0,0,0,0.26
HI0000334,868,MR003,HAA5,0,0,0,0,0,0,0,0,0
HI0000335,99030,335903,HAA5,0,0,0,0.2,0,0,0,1,0
HI0000345,91003,345909,HAA5,0.188,0.2605,0,0,0.2275,0,0,0,0
HI0000356,1399,MR002,HAA5,0,0,0,0.5045,0,0,0,0,0
HI0000360,5,910,HAA5,0,0,0,0.592,0,0,0,0,0
HI0000367,99044,367903,HAA5,0,0,0,0,0.105,0,0,0,0
HI0000400,92023,400323,HAA5,1.85,1.8,1.175,1.3125,2.09,0,0,0.625,1.4225
HI0000406,30001,DS1,HAA5,0,0,0,0.32,0,0,0,0,0
HI0000434,312,434312,HAA5,0.15,0,0,0.735,0,0,0,1.3,0
IA0400900,5834,DB01,HAA5,2.85,2.05,0.595,0.5225,13,0,0,0,6.125
IA0472012,30001,DS1,HAA5,2.2645,1.97725,0.44625,0,14.112375,0.0795,0.57125,0,8.459
IA0709084,7090,DB01,HAA5,0.675,0.7,0.525,0.62,0.91,0,0,0,0.26
IA0790074,255,U99001,HAA5,0.937,0.4955,0.445,0.7365,0.975,0.3275,0,0,0
IA0819033,952,DS2,HAA5,3.725,1.015,0.5725,1.125,8.475,0.5,0,0.6,1.675
IA0990701,91632,D002,HAA5,2.35,0.855,0.8,1.95,4.55,0.21,0,0,0.65
IA1178097,5227,DS02,HAA5,0.18,0.26,0,0,0.995,0,0,0,0
IA1400902,30001,DS1,HAA5,3.4,1.95,0.94,1.3,3.9,0,0,0,3.1
IA1415072,14151,DP02,HAA5,1.4475,0,0,0.182,4.0075,0.194,0,0,0
IA1750048,694,5,HAA5,0.495,0.28,0.345,0.195,0.765,0,0,0,0
IA2171071,90001,HTL2,HAA5,2.4,1.4,1.055,1.33,3.15,0,0,1.15,2.1
IA2326048,950,DB01,HAA5,0.465,0,0,0.47,0.475,0.165,0,0,0
IA2520098,30001,DS1,HAA5,2.05,1.35,0.95,0.8,2.5485,0.25,0,0,1.85
IA2573080,13,14,HAA5,3.9,0.9325,0.7475,2.075,6.125,0,0,0.575,1.0375
IA2909053,6578,DB02,HAA5,2.8,1.14,0.4,0.4875,14.5,0.2025,0,0,4.975
IA3070078,30001,DS1,HAA5,4.525,2.075,0.7225,1.165,18,0.445,3.875,0,9.525
IA3126052,99001,DB01,HAA5,2.7,1.15,0.605,1.05,6.6,0,0,1,2.2
IA3342041,30001,DS2,HAA5,0,0,0,0,0.1,0,1.9,0,0
IA3430091,30001,DS2,HAA5,0.6805,0,0.1755,0.2785,0.6335,0,0,0,0.7175
IA3742004,30001,DS2,HAA5,4.9,6.45,1.425,1.075,9.15,0.42,2.5,0,14.5
IA4364044,30001,DS1,HAA5,0.9505,0.6335,0.157,0.912,0.6465,0.293,0,0,0
IA5059064,952,DS01,HAA5,2.417,0.6845,0.784,2.2525,2.166,0.415,0,0,0.291
IA5208071,2,DB02,HAA5,1.97,2.6,1.85,2.1,1.42,0.405,0,1.6,0.5
IA5225079,12,DB04,HAA5,4.475,1.1875,0.6575,1.75,10.025,0,0,1.125,1.775
IA5225101,25102,DS3,HAA5,4.525,1.35,0.8725,1.9,10.1,0.2325,0,0.675,2.175
IA5252072,3,1,HAA5,0,0,0,0.18,0,0,0,0,0
IA5625062,95017,DB01,HAA5,0.62,0.27,0.39,0.49,0.75,0,0,0,0
IA5640019,952,DS04,HAA5,2.975,1.525,0.385,0.43,17.25,0,0,0,7.825
IA5715093,950,DB01,HAA5,1.1925,0,0.375,0,3.3,0.2,0,0,0.15
IA5751035,18000,DB01,HAA5,0,0,0,0,0,0,0,0,0
IA6171029,30001,DS2,HAA5,3.2,2.45,0.6925,0.6575,8.35,0,0,0,6.075
IA6273005,5099,DS01,HAA5,3.75,1.675,1.0775,1.65,6.45,0.1075,0,0,2.525
IA6368033,1,DB03,HAA5,0,0,0,0.16,0.225,0,0,0,0
IA6469042,95001,DB01,HAA5,0,0,0,0,0.765,0,0,0,0
IA6950075,30001,DS1,HAA5,0.725,0.28,0.185,0.57,0.58,0,0,0,0
IA7048001,3217,MR001,HAA5,1.3,1.4,0.825,0.665,2.5,0,0,0,1.6
IA7465010,30001,DS1,HAA5,2.2,0.6,0,0.31,12.15,0.155,1.6,0,3.38
IA7707030,3436,MR002,HAA5,0.365,0,0.175,0.2,2.19,0,0,0,1.01
IA7709053,3437,ANKEC049,HAA5,2.525,1.1625,0.55,0.745,8.1,0,0,2.475,3.725
IA7720051,3453,MR004,HAA5,2.975,0.81,0.6475,1.8,4.575,0.09,0,0,0.7525
IA7727031,90201,DB02,HAA5,3.9,0.8575,0.4975,1.25,8.2,0,0,0,1.28
IA7740011,40011,HAA01,HAA5,1.875,1.0325,0.325,0.315,6.275,0,0,0,3.85
IA7780042,18821,DB04,HAA5,3.75,0.9375,0.6525,1.575,6.575,0.075,0,0,1.2425
IA7785007,101,DB07,HAA5,3.366666667,0.836666667,0.56,1.44,6.433333333,0,0,0,0.986666667
IA7820080,90001,DB04,HAA5,3.75,0.85,0.405,0.9025,17.475,0,0,0,2.6
IA8080701,19011,DB03,HAA5,3.875,2.5,0.57,0.5725,16,0,0,0,8.925
IA8222001,951,DB06,HAA5,3.6,1.465,0,0.35,22.25,0,0,0,10.025
IA8482096,30001,DS1,HAA5,2.5,2.1,1.9,2,1.5,0.485,0,0,1.1
IA8503039,3,DB04,HAA5,0.555,0.29,0,0.23,1.225,0,0,0,0
IA8503528,3919,DB04,HAA5,0.26,0,0,0,1.015,0,0,0,0
IA8670701,99001,DBP01,HAA5,2.1,1.02,0.518,1.05,5.17,0,0,0,1.67
IA9000742,19255,DB04,HAA5,3.8,1.5,0.6375,0.8425,12.675,0.095,0,0,3.5
IA9083012,950,DB02,HAA5,3.05,1.075,0.48,0.66,11.825,0,0,0,2.975
IA9133075,30001,DB02,HAA5,1.6,0.7,0.315,0.41,4.85,0,0,0,1.45
IA9133701,99001,DS003,HAA5,3.55,0.6,0.7025,2.05,5.25,0,0,0,0.605
IA9203007,30001,DS1,HAA5,0.3575,0,0,1.313,0.145,0.5045,0,0,0
IA9433050,950,DB01,HAA5,1.25,0.34,0.235,2.75,1.31,0,0,1.1,0
IA9778054,40001,DB03,HAA5,5.325,8.65,2.575,1.3975,17.25,0.4625,0,0.6,16.3
IA9780059,30001,DS1,HAA5,2.2,2.6,0.525,0.245,4.3,0,0,0,6.6
IA9855202,30001,DS1,HAA5,0.28,0.55,0,0,4.8,0,0,0,6.5
ID1280053,5583,DBP2C,HAA5,0,0,0,0.1535,0.1335,0,0,0,0
ID1280147,5677,3TC,HAA5,0,0,0,0,0,0,0,0,0
ID2290023,6113,DBP2A,HAA5,0,0,0,0,0.2225,0,0,0,0
ID2290042,30001,DS1,HAA5,0,0,0,0,0,0,0,0,0
ID2350014,6170,DBP2C,HAA5,1.5035,2.645,0.4815,0.243,8.35,0,0,0,14.705
ID2350015,6171,DBP2D,HAA5,1.0295,0,0,0.931,0.8355,0.2025,0,0,0
ID3140013,6242,DBP2A,HAA5,0,0,0,0,0,0,0,0,0
ID3140080,6309,DBP2B,HAA5,0,0,0.17,1.4,0,0.305,0,1.05,0
ID4010016,99001,DBP2A,HAA5,0.905,1.22,0,0,14.75,0,0,0,22
ID4010066,6674,DBP2A,HAA5,0.2,0.5,0.265,0.2,0.13,0,0,0,0
ID4010085,6693,DBP2A,HAA5,0.505,0,0.425,1.3,0,0,0,0,0
ID4010097,99001,DBP2B,HAA5,0.6,0.395,0.765,1.05,0.685,0,0,1.5,0.585
ID4010141,30001,DS2,HAA5,0,0,0,0.365,0,0.16,0,0,0
ID4200032,6969,DBP2A,HAA5,0.249,0,0.168,0.591,0.1715,0,0,0,0
ID5070028,30001,DS2,HAA5,0.155,0,0,0,0.42,0,0,0,0
ID5160008,99001,DBP2A,HAA5,0,0,0,0.8545,0,0,0,0,0
ID5270011,99001,DBP2B,HAA5,0,0.53,0,0.9165,0.3445,0,0,0,0.565
ID5420058,7457,DBP2B,HAA5,3.17,3.855,2.67,5.31,1.3605,0.5695,0,1.58,0.3875
ID6030008,99001,DBP2C,HAA5,0.202,0,0.151,1.0395,0,0,0,0,0
ID6030043,7535,DBP2A,HAA5,0.646,0,0.615,2.675,0,0.424,0,0,0
ID6210007,30001,DS1,HAA5,0.275,0.3,0.1125,0,0.375,0,0,0,0.375
ID7100030,7899,DBP2D,HAA5,0,0,0,0.335,0,0,0,0,0
ID7100039,10135,DBP2A,HAA5,0.35,0,0,0.7,0.1,0,0,0,0
IL0010650,2,S2HT2,HAA5,2.3325,0.8385,0.0875,0.24175,13.1675,0,1.55,0,3.115
IL0070150,30001,DS1,HAA5,1.167,0.261,0.5485,1.066,1.3195,0.376,0,0,0
IL0075050,30001,DS1,HAA5,0.9,0.805,0,0,2.5,0,0,0,3.85
IL0170150,30001,DS2,HAA5,3.0155,0,0.1985,1.312,4.652,0.4505,0,0,0.96
IL0190650,1,S2HH1,HAA5,0.7715,0.339,0,0,6.07,0,0,0,3.465
IL0195300,6,S2HH2,HAA5,3.4,1.35,0.62,0.605,18.5,0,0,0,7.9
IL0195500,7,S2HT2,HAA5,2.05,1.4085,0.487,0.4425,9.91,0.3665,2.58,0,8.285
IL0210600,3,S2HT1,HAA5,5.1675,2.1325,1.7025,3.76,7.6775,0.43,3.145,0,2.26
IL0290100,3,S2HT2,HAA5,1.6525,0.137,0.08,0.68975,4.53,0,2.18,0,0.84775
IL0290250,3,S2HT3,HAA5,1.9725,0.5845,0.08725,0.2185,22.025,0.4075,2.5,0,4.1025
IL0310030,2,S2DBP1,HAA5,3.3,3.2,1.135,1.2,6.175,0.1875,0,0,7.45
IL0310060,2,S2HT1,HAA5,3.1875,3.7575,1.05525,0.97925,4.2025,0.5625,1.325,0,4.97
IL0310150,4,S2DBP1,HAA5,3.65,4.05,1.6225,1.025,6.575,0.2475,0,0,7.975
IL0310210,3,S2HT2,HAA5,2.8,3.966666667,1.233333333,0.955,5.575,0,0,0,7.45
IL0310240,3,S2HT1,HAA5,2.925,3.675,1.195,0.7425,4.925,0.13,0,0,6.675
IL0310270,2,S2HH1,HAA5,2.335,3.685,0.9265,0.74625,4.895,0.2875,0,0,6.565
IL0310330,2,S2HT2,HAA5,3.2,4,1.45,1.03,5.25,0.4,0,0,5.2
IL0310390,1,S2HH1,HAA5,1.62,1.95,0.885,0.5525,2.875,0,0,0,3.375
IL0310450,1,S2HH1,HAA5,1.49275,1.98,0.80275,0.407,2.795,0.2215,0.955,0,2.8675
IL0310480,3,S2HH1,HAA5,3.4,2.865,1.0225,1.0925,5.575,0.1275,0,0,7.175
IL0310510,2,S2HH1,HAA5,2.933333333,2.833333333,1.366666667,0.836666667,3.966666667,0.136666667,0,0,5.1
IL0310540,2,S2HT1,HAA5,4.035,3.685,0.95025,1.1375,8.93,1.385,1.495,0,5.995
IL0310600,2,S2HT3,HAA5,3.105,3.8625,0.956,0.973,6.0775,1.1975,1.855,0,6.825
IL0310630,3,S2HT3,HAA5,3.4,4.166666667,1.533333333,0.99,5.533333333,0.36,0,0,6.333333333
IL0310690,2,S2DBP1,HAA5,2.835198,4.4708995,1.7458075,1.0404815,4.0310975,0.15733,0,0,6.251279
IL0310780,2,S2DBP1,HAA5,3.633333333,4.1,1.5,1.13,6.133333333,0.503333333,0,0,6.066666667
IL0310810,3,S2HT2,HAA5,3.3675,4.5425,1.24525,0.7335,7.2875,0.31825,0,0.7875,7.0925
IL0310840,2,S2HT1,HAA5,3.525,4.25,1.525,1.16,5.875,0.2225,0,0,5.8
IL0310900,3,S2HT2,HAA5,2.825,4.85,1.625,1.06,6.9,0.43,0,0,7.725
IL0310960,2,S2DBP1,HAA5,3.49,5.25,1.18725,0.73175,8.4625,0.2435,0,0,8.7075
IL0311020,3,S2DBP1,HAA5,3.076666667,3,1.1,0.836,7.46,0.3175,0,0,6.515
IL0311110,3,S2HH1,HAA5,3.275,3.3,1.205,1.05,6.5,0.4275,0,0,4.95
IL0311170,3,S2HT2,HAA5,3.433333333,3.866666667,1.633333333,1.04,6.333333333,0.243333333,0,0,7.366666667
IL0311200,1,DS003,HAA5,3.45,4.35,1.6,1.0875,6.075,0.355,0,0,7.1
IL0311290,1,S2HH1,HAA5,3.2775,4.635,1.00825,0.97725,7.755,1.09275,0,0,7.4625
IL0311350,2,S2HT1,HAA5,3.45,4.275,1.4,1.075,6.3,0.3675,0,0,7.9
IL0311530,2,S2HH1,HAA5,3.375,4.475,1.675,1.01,6.275,0.2,0,0,8.125
IL0311560,2,S2HH1,HAA5,3.15,4,1.35,1.005,5.4,0.445,0,0,4.95
IL0311590,2,S2HT1,HAA5,1.375,1.775,0.74625,0.54525,3.0775,0,0.7525,0,2.41
IL0311620,1,S2HT1,HAA5,0,0,0,0,0,0.1725,0,0,0
IL0311650,2,S2HH1,HAA5,3.533333333,4.333333333,1.5,1.033333333,8,0.423333333,0,0,7.5
IL0311710,2,S2HT3,HAA5,2.7016475,3.7865315,1.421153,1.077668,3.8805505,0,0,0,3.722311
IL0311770,2,S2HT1,HAA5,3.05,3.65,1.275,1.135,5.175,0.0775,0,0,6
IL0311800,2,S2HH1,HAA5,3.725,4.025,1.48,1.11,7.675,0.12,0,0,6.775
IL0311830,2,S2HT1,HAA5,3.1982465,4.011103,1.34197,1.141796,4.711231,0.23,0,0,4.6587215
IL0311860,1,S2HT1,HAA5,1.7,3.575,1.0775,0.455,3.95,0,0,0,5.375
IL0311920,2,S2HT2,HAA5,3.425,3.75,1.035,1.025,9.575,0,0,0,10.45
IL0311950,3,S2HT2,HAA5,3.44,4.9525,1.5725,0.97275,7.7225,0.54275,0,0,7.5775
IL0311980,1,S2DBP1,HAA5,3.375,4,1.425,1.0575,8.025,0,0,0,7.925
IL0312010,2,S2HH1,HAA5,3.686201,5.097443,1.65262,1.2754505,6.11862,0.1574765,0,0,6.2777085
IL0312040,3,S2DBP1,HAA5,3.4437535,4.6792015,1.617894,1.2301885,4.8142675,0,0,0,4.7362285
IL0312070,3,S2DBP1,HAA5,4.45,4.5,1.22,1.475,9.45,0.3675,0,0,7.775
IL0312160,30001,DS1,HAA5,3.911,4.62875,1.38875,0.9555,8.3855,0.61875,0,0,8.258
IL0312190,2,S2HT1,HAA5,3.5625,4.2075,1.09,0.98325,6.935,0.7825,0,0,6.685
IL0312220,3,S2HH3,HAA5,3.425,3.45,1.375,1.255,5.475,0,0,0,5.825
IL0312250,4,S2HT4,HAA5,3.125,3.825,1.425,1.01,5.425,0.2175,0,0,6.975
IL0312310,2,S2HT3,HAA5,3.425,3.875,1.325,1.1525,7.15,0,0,0,9.225
IL0312340,3,S2HT1,HAA5,4.2925,5.095,1.3035,1.1325,12.5075,1.3725,0,0,8.9
IL0312370,2,S2HH1,HAA5,3.625,4.5,1.4,1.0875,7.85,0.1325,0,0,8.65
IL0312400,2,S2HT3,HAA5,2.725,4.1,1.5,0.8725,5.175,0.0925,0,0,8.475
IL0312460,3,S2HH1,HAA5,3.169491,4.037244,1.3829875,1.106929,4.8071665,0.414504,0,0,4.6588185
IL0312550,1,S2HT2,HAA5,0.381,0,0,0,0.441,0.298,0,0,0
IL0312580,3,S2HT3,HAA5,4.075,4.05,1.525,1.1975,7.15,0.1725,0,0,8.925
IL0312610,2,S2HT1,HAA5,3.15,4.3,1.5,0.985,5.2,0.42,0,0,5.25
IL0312640,2,S2HT2,HAA5,2.75,5.1,1.6,0.8575,5.05,0.2125,0,0,8
IL0312700,30001,DS1,HAA5,4.33625,4.8355,1.4645,1.3195,7.002,0.33875,0,0,7.19
IL0312730,1,S2HH1,HAA5,3.35,5.65,2.3,0.9425,7.65,0.26,0,0,9.175
IL0312850,2,S2DBP1,HAA5,3.125,3.45,1.325,0.985,5.2,0.085,0,0,5.825
IL0312880,2,S2HH1,HAA5,3.25,3.15,1.175,1.0725,4.95,0.095,0,0,5.95
IL0312970,3,S2HT1,HAA5,3.725187,4.337303,1.4954215,1.198991,6.2160195,0.29,0,0,6.854471
IL0313000,30001,DS1,HAA5,3.9365,4.4375,1.20775,0.979,8.745,0.5155,0,0,7.56125
IL0313060,1,S2HT2,HAA5,3.866666667,4.666666667,1.533333333,1.13,6.366666667,0.47,0,0,6.433333333
IL0313150,2,S2HT2,HAA5,3.3,4.675,1.625,1.005,7.25,0.2925,0,0,7.05
IL0313300,3,S2HT1,HAA5,2.8625,2.4175,0.7355,0.92575,5.03,0,0,0,3.81
IL0313330,3,S2HT2,HAA5,3,3.225,1.225,1.2,4.55,0.2775,0,0,4.025
IL0313360,2,S2HT1,HAA5,3.3075,3.8275,0.98975,0.98875,5.86,0.507,1.555,0,5.61
IL0314030,1,S2HT1,HAA5,3.4,4.3,1.5,1.05,6.4,0.45,0,0,6.05
IL0314120,1,S2HT2,HAA5,3.0976205,3.136516,1.2509665,1.248086,6.6234965,0.4242095,0,0,4.717477
IL0314180,3,S2HT1,HAA5,3.265,3.5625,0.98525,0.98275,6.005,1.6725,0,0,5.385
IL0314400,1,S2HT2,HAA5,2.4475,3.9775,0.97275,0.6095,5.7625,0.77775,0,0,6.765
IL0314480,1,S2HH1,HAA5,3.973659,5.274597,1.603648,1.436111,6.916651,0.313298,0,0,6.421389
IL0314710,2,S2HT1,HAA5,2.185,2.55,0.925,0.6,4.4,0.1075,0,0,6.425
IL0314740,8,S2HH1,HAA5,1.195,0.8245,0.75,1.515,0.9835,0,1.295,0,0.651
IL0314890,1,S2HT4,HAA5,3.525,4.25,1.5175,1.145,6.475,0.0875,0,0,7.6
IL0314910,3,S2HH1,HAA5,3.6,3.675,1.425,1.15,6.375,0.285,0,0,7.35
IL0314970,10,S2HT2,HAA5,2.825,4.025,1.3925,0.83,4.725,0.235,0,0,7.8
IL0315150,2,S2HH1,HAA5,4.025,2.9,0.935,1.27,8.3,0.3125,0,0,6.225
IL0315350,1,S2DBP1,HAA5,3.04,4.335,1.00825,0.91025,7.955,0.595,0,0,7.1225
IL0315820,2,S2HT1,HAA5,3.09,3.81,0.986333333,0.905333333,4.986666667,0.363333333,2.173333333,0,5.833333333
IL0315880,2,S2HH1,HAA5,3.3225,4.115,1.1105,0.97225,5.185,0.147,2.845,0,5.8275
IL0316000,5,S2HT4,HAA5,3.035,4.3775,1.19825,0.69975,5.7175,0.34625,0,0,5.225
IL0317370,2,S2HH1,HAA5,3.05,3.9,1.25,0.92,5.425,0,0,0,6.675
IL0335030,7,S2HT1,HAA5,2.25,0.92,1.47,4.1,0.84,1.7,0,1.55,0
IL0370100,15,S2HT2,HAA5,0.165,0,0,0,1.925,0,0,0,1.22
IL0370550,10,S2DBP1,HAA5,0.55,0.355,0,0,1.65,0,0,0,2.6
IL0415030,30001,DS1,HAA5,2.951,1.657,0.467,0.6955,18.925,0,0,0,7.5415
IL0430050,1,S2HH1,HAA5,3.3325,3.9175,1.0525,0.879,6.5075,1.4275,1.5575,0,5.8225
IL0430060,30001,DS2,HAA5,3.42525,4.954,1.5055,0.843,7.26025,0.4465,0,0,7.398
IL0430100,1,S2HT1,HAA5,3.8700815,4.574687,1.62544,1.1925675,7.1616135,0.4951615,0,0,6.8578455
IL0430200,1,S2HT1,HAA5,2.525,4.175,1.295,0.7475,4.675,0.1075,0,0,8.15
IL0430270,1,S2HT1,HAA5,3.75,4.675,1.55,1.0375,7.15,0.3475,0,0,7.275
IL0430300,1,S2HT1,HAA5,4.15,5.05,2.15,1.14,6.8,0.56,0,0,8.1
IL0430350,2,S2HT1,HAA5,3.625,4.375,1.65,1.045,7.775,0.3275,0,0,7.025
IL0430400,1,S2HT2,HAA5,2.35,3.375,1.1575,0.7375,4.9,0.125,0,0,9.3
IL0430450,1,S2DBP1,HAA5,3,4.575,1.375,0.8675,5.375,0.1925,0,0,7.1
IL0430551,1,S2HH1,HAA5,3.3,4.25,1.5,1.035,5.35,0.455,0,0,5
IL0430552,30001,DS1,HAA5,3.8405,4.32725,1.36725,1.0525,9.09525,0.53525,0,0,6.44575
IL0430600,1,S2HH1,HAA5,3,4.2,1.35,0.85,5.475,0.2925,0,0,6.925
IL0430700,1,S2HT2,HAA5,2.75,4.325,1.475,0.89,5.375,0.215,0,0,6.25
IL0430800,1,S2DBP1,HAA5,2.525,3.7275,1.002,0.75525,5.62,1.17575,0,0,5.83
IL0430833,11,S2HT1,HAA5,0.96,0.43,0,0.455,2.75,0,0,0,2.25
IL0430900,9,S2HT1,HAA5,1.45,0,0.535,1.35,1.7,0,0,0,0.555
IL0430950,1,S2HT2,HAA5,3.4,4.45,1.675,1.045,7.55,0.215,0,0,9.025
IL0431050,1,S2HT2,HAA5,4.56434,4.4233355,1.6502545,1.4711755,8.765235,0.48,0,0,6.4620065
IL0431200,1,S2HH1,HAA5,3.3746935,5.246856,1.50754,1.1437095,6.088246,0.18,0,0,6.589511
IL0431250,1,S2HT1,HAA5,3.225,4.625,1.5175,0.86,7.5,0.325,0,0,9.125
IL0434140,1,S2HH1,HAA5,3.638294,5.267005,1.8439565,1.124113,7.1611855,0.4612255,0,0,8.1111765
IL0434190,2,S2HH1,HAA5,3.49,4.1025,0.92075,1.07075,8.8025,1.00875,0,0,6.885
IL0434520,1,S2HT1,HAA5,3.940763,4.809363,1.505773,1.309553667,7.174471,0.415004,0,0,6.455030667
IL0434670,1,S2HT1,HAA5,4.225,4.15,1.215,0.8725,10.325,0.3425,0,0,10.1
IL0434820,1,S2HT3,HAA5,3.7,3.65,1.3,1.175,6.075,0.1825,0,0,7.025
IL0490250,3,S2HH1,HAA5,2.22,0.92425,0,0.17725,21.5,0.5225,1.1025,0,6.4825
IL0550700,30001,DS2,HAA5,5.05,1.12475,0.431,0.94825,24.02175,0.2135,1.51425,0.9295,3.1775
IL0570250,3,S2HH1,HAA5,1.00125,0,0,0.45875,2.735,0,2.6375,0,1.31775
IL0630550,9,S2HH1,HAA5,0,0,0,0.39,0.48,0,0,0,0
IL0630600,6,S2HT1,HAA5,2.15,1.05,1.65,5,0.82,0.64,0,1.55,0
IL0710010,30001,DS2,HAA5,1.795,1.251,1.08,1.004,2.5565,0.3805,0,0,0.8355
IL0730650,7,S2HH1,HAA5,0.1905,0,0,0.854,0,0.171,0,0,0
IL0770150,2,S2HT1,HAA5,1.53,1.07,0,0,14.65,0,0.6225,0,8.135
IL0770500,2,S2HT2,HAA5,1.41225,0.3535,0,0.08075,21.3,0,2.1275,0,4.685
IL0790010,15,S2HH2,HAA5,2.7625,2.05975,0,0.297,43.885,0,1.68,0,48.21
IL0810010,30001,DS1,HAA5,4.39575,0.558,0.409,0.72475,22.561125,0,0.58,0,2.436
IL0810300,2,S2HT1,HAA5,2.906666667,0.521,0,0.43075,13.025,0,2.61,0,1.836
IL0835300,1,S2HT2,HAA5,3.0275,3.225,0.47425,0.5035,21.775,0,1.915,0,10.355
IL0850500,30001,DS2,HAA5,0,0,0,0,0.656,0,0,0,0
IL0890200,6,S2DBP1,HAA5,2.475,1.365,1.215,1.94,2.58,0.52,0,0,1.261
IL0890350,8,S2HH1,HAA5,1.074035,0.540888,0.393066,0.779237,1.709613,0,0,0,0.785254
IL0890600,7,S2DBP1,HAA5,0,0,0,0,0,0,0,0,0
IL0890800,19,S2DBP1,HAA5,4.08,6.205,2.8285,2.295,3.92,0.4005,0,0,4.4365
IL0890850,17,S2DBP1,HAA5,0.4485,0,0,0,1.1985,0,0,0,0.5205
IL0894070,2,S2HT2,HAA5,4.175,2.1,1.054,2.055,8.755,0.11925,0,0,4.685
IL0894130,10,S2HT1,HAA5,1.85,2.55,1.6,1.1,2.25,0,0,0,2.05
IL0894380,13,S2HT2,HAA5,4,4.925,2.05,1.21,7.375,0.29,0,0,7.275
IL0894830,14,S2HH1,HAA5,1.211,0.631,0.3815,0.5045,4.9005,0.158,0,0,1.721
IL0910020,30001,DS2,HAA5,4.0645,3.30525,0.3295,0.2125,22.078,0.464,1.324,0,15.90575
IL0915030,3,S2HT1,HAA5,3.4725,2.745,0.55575,0.7265,18.2,0.1195,0.6125,0,8.8175
IL0930150,18,S2DBP1,HAA5,0,0,0,0,0,0,0,0,0
IL0930200,7,S2DBP1,HAA5,1.054,0.7385,0.6575,0.831,0.796,0.7475,3.215,0,0.863
IL0930250,9,S2DBP1,HAA5,1.85,3.34,1.46,1.045,3.14,0.415,0,0,3.85
IL0950200,7,S2HT3,HAA5,4.195,4.94,0.855,0.843,11.35,0,2.52,0,12.3
IL0970050,17,S2HH1,HAA5,0.4765,0.2885,0,0.177,1.2695,0,0,0,0.348
IL0970250,1,S2HT2,HAA5,1.43225,1.07,0.55925,0.7545,2.1275,0,0,0,2.5075
IL0970350,1,S2DBP1,HAA5,1.95,1.4,1.125,1.35,2.2,0.15,0,0,0.88
IL0970500,90002,DBP1,HAA5,3.475,3.425,1.0275,1.1,8.475,0.105,0,0,7.9
IL0970800,3,S2DBP1,HAA5,3.8075,3.5675,0.81625,1.02425,11.9075,0.3225,0,0,8.245
IL0970850,12,S2HT2,HAA5,0.6,0,0,0.2,2.335,0,0,0,1.85
IL0970900,1,S2DBP1,HAA5,1.4,1.105,0.92,1.1,1.5,0,0,0,0.765
IL0971000,13,S2HT1,HAA5,2.735,2.525,0.9585,1.115,4.48,1.145,0,0,3.3185
IL0971150,1,S2HT1,HAA5,2.0575,1.3,0.77075,1.135,2.4525,1.19975,0,0,1.25525
IL0971250,3,S2HH1,HAA5,2.6475,3.8575,0.9425,0.6715,8.6675,1.17275,0,0,9.1375
IL0971500,1,S2DBP1,HAA5,2.27,1.357333333,0.779666667,0.93325,4.465,0.62875,0,0,1.54
IL0971550,1,S2DBP1,HAA5,2.375,1.4725,0.83275,1.0975,3.7425,1.3175,0,0,1.95
IL0971750,1,S2HT3,HAA5,1.56,1.26,0.69225,0.725,2.4475,0,0,0,1.0915
IL0971850,15,S2HHH1,HAA5,2.315,1.585,0.84575,1.176,3.225,1.0225,1.0675,0,1.77
IL0971900,3,S2HT2,HAA5,3.445,3.28675,0.7255,0.85975,9.57,2.6825,1.03,0,6.2275
IL0972000,2,S2DBP1,HAA5,3.166666667,5.333333333,1.383333333,0.75,9.133333333,0.263333333,0,0,11.66666667
IL0974080,7,S2DBP1,HAA5,1.338,0,0,0.7065,3.705,0,0,0,0
IL0974340,3,S2DBP1,HAA5,4.325,4.475,1.55,1.2,9.775,0.2575,0,0,9.2
