PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
AL0000397,99200,DB201,HAA5,0.505,0.32,0.16,0,0.84,0,0,0,0.425
AL0000402,40201,DS1,HAA5,2.875,1.675,0.2625,0,27.5,0,2.475,0,15.025
AL0000413,12345,DSO2,HAA5,2.6925,1.587,1.0045,1.0525,3.96,0.316,0,0,1.81175
AL0000441,1,DS01,HAA5,2,0.375,0.62,1.7,1.4,0,0,0,0.36
AL0000490,99001,DS001,HAA5,0.565,0,0,0,1.18,0,0,0,0
AL0000509,99001,DS002,HAA5,1.61,1.325,0.275,0.16,8.125,0,0,0,6.675
AL0000535,99001,DS003,HAA5,1.195,0.86725,0,0.1875,4.7575,0,0,0,3.9425
AL0000539,99200,DB201,HAA5,1.7225,1.475,0.1025,0,9.725,0,0,0,11.075
AL0000547,99001,DS004,HAA5,3.05,0.88,0.1,0.13,17.925,0.25,2.3,0,3.9
AL0000549,99001,DS001,HAA5,2.95,2.1,0.35,0.3925,14.725,0.29,0.575,0,11.65
AL0000551,99200,DB204,HAA5,3.475,1.825,0,0,34.75,0,3.875,0,19.5
AL0000553,99001,DS003,HAA5,0.2725,0,0,0.177,0.7595,0,0,0,0
AL0000561,99200,DB201,HAA5,0.15,0,0,0.175,0.125,0,0,0,0
AL0000577,99001,DS002,HAA5,4.4325,2.2,0.6615,0.9595,10.875,0.08225,0,0,5.735
AL0000588,99002,DS004,HAA5,0.195,0,0,0,0.73,0,0,0,0
AL0000591,99001,DS001,HAA5,0.8875,0.51,0.2725,0.165,2.4575,0.085,0,0,0.55
AL0000607,99200,DB201,HAA5,1.775,0.85,0.535,0.945,2.05,0.09,0,0,1.67
AL0000610,99001,DS002,HAA5,2.1,1.5375,0,0,25.375,0,1.5075,0,22.125
AL0000624,99200,DB201,HAA5,0.41,0,0,0.22,0.44,0,0,0,0
AL0000663,99001,DS002,HAA5,0.24,0.305,0,0,0.925,0,0,0,0
AL0000671,99200,DB201,HAA5,0.725,0.365,0.17,0,2.05,0,0,0,1.145
AL0000681,6085,MR001,HAA5,0.35,0,0.2,0.2,0.5,0,0,0,0
AL0000728,99001,DS001,HAA5,3.075,3.8675,0.63275,0.4105,12.275,0.0825,0.545,0,11.95
AL0000729,99001,DS002,HAA5,3.275,1.755,0.4,0.125,24.65,0,0,0,13.75
AL0000737,7105,DS2,HAA5,3.197333333,2.160666667,0.792,0.610666667,10.28,0,2.443333333,0,4.333333333
AL0000738,99200,DB08,HAA5,2.8925,2.16,0.36325,0.38475,13.75,0,0.76,0,9.7775
AL0000753,1,SITE1,HAA5,0.9,0.27,0,0.205,2.35,0,0,0,0.5
AL0000761,99001,DS004,HAA5,0.73,0.96,0.6,0.37,1.1,0,0,0,0.5
AL0000763,99001,DS003,HAA5,5.325,3.2025,0.925,0.675,18.525,6.4,1.375,0,8.275
AL0000783,99001,DS006,HAA5,1.833333333,1.8,0.433333333,0,12.1,0.186666667,0,0,12.63333333
AL0000794,99001,DS004,HAA5,1.85,1.575,0.3125,0.0975,14.075,0,0.525,0,14.95
AL0000801,5,5,HAA5,2.1,1.2125,0.1675,0,27.85,0.1525,1.4,0,21.575
AL0000804,805,3,HAA5,3.025,2.925,0.46,0.175,20.9,0.58,1.45,0,17.45
AL0000814,3,1618,HAA5,2.0025,0.965,0.095,0.1325,15.03,0.23,1.825,0,5.85
AL0000816,99001,DB201,HAA5,4.1675,3.5225,0.393,0.32025,24.275,0.08925,1.2175,0,18.95
AL0000820,99001,DS004,HAA5,4.3,4.7,0.91,0.64,17.35,0.165,0.9,0,14.575
AL0000824,90102,DB02,HAA5,2.765,2.9,0.196,0,19.95,0,1.3975,0,21.925
AL0000833,99001,DS006,HAA5,2.25,1.925,0.225,0,23.675,0.11,0.5,0,21.625
AL0000870,99001,DS001,HAA5,3.616666667,3.006666667,0.212666667,0.214,27.7,0,1.326666667,0,29.96666667
AL0000878,99001,DS001,HAA5,0.709,0.5505,0.21775,0.225,1.3595,0,0,0,0.545
AL0000882,99001,DS006,HAA5,2,2.5975,0.20825,0,14.7125,0,0,0,17.4
AL0000885,30000,DS01,HAA5,2.8225,3.2675,0.29075,0,17.225,0.0935,0.5025,0,24.25
AL0000888,99001,DS005,HAA5,3.475,3.825,0.5,0.22,25.775,0,1.45,0,24.225
AL0000899,90104,RT03,HAA5,2.016666667,2.846666667,0.299,0,14.37,0,0.946666667,0,23.66666667
AL0000908,99001,DS002,HAA5,1.605,0.645,1.015,7.1,0.255,1.445,0,4,0
AL0000926,99001,DS003,HAA5,3.07,0.8975,0,0.0765,36.65,0,3.385,0,10.8925
AL0000933,99001,DS002,HAA5,4.066666667,3.366666667,0.59,0.303333333,26.86666667,0.133333333,2.2,0,20.53333333
AL0000934,99001,DS001,HAA5,3.325,1.925,0.6475,0.5625,10.65,0,0.875,0,5.075
AL0000936,99001,DS004,HAA5,4.02,3.715,0.2305,0.36825,26.825,0,1.98,0,28.425
AL0000940,99001,DS001,HAA5,0.98,0.32,0,0.24,1.75,0,0,0,0.42
AL0000943,12347,DS2,HAA5,3.235,3.3625,0.50675,0.415,17.75,0.125,0.9,0,17
