PWSID,HAA5_RAAQ95,HAA9_RAAQ95,TTHM_RAAQ95,HAA5_MCL,TTHM_MCL,STG2_MCL
010106001,24.5769,44.9932,,<,?,Uncertain (No TTHM Data)
010109005,59.0111875,64.3758375,,<,?,Uncertain (No TTHM Data)
055293201,2.5794,5.306875,,<,?,Uncertain (No TTHM Data)
055294214,0.409,0.62275,,<,?,Uncertain (No TTHM Data)
055294506,1.046125,1.561425,,<,?,Uncertain (No TTHM Data)
063500120,0.813,0.93375,,<,?,Uncertain (No TTHM Data)
063501100,0.755,0.755,,<,?,Uncertain (No TTHM Data)
063506008,13.161825,20.4563,,<,?,Uncertain (No TTHM Data)
063506114,2.4255,5.23325,,<,?,Uncertain (No TTHM Data)
083890015,32.705,42.27,,<,?,Uncertain (No TTHM Data)
083890023,41.999,60.1335,,<,?,Uncertain (No TTHM Data)
084690516,19.481375,27.2685,,<,?,Uncertain (No TTHM Data)
090400089,0.0,0.0,,<,?,Uncertain (No TTHM Data)
090400090,20.026125,35.976125,,<,?,Uncertain (No TTHM Data)
090400106,0.0,0.0,,<,?,Uncertain (No TTHM Data)
090400109,0.8725,1.121,,<,?,Uncertain (No TTHM Data)
090400343,17.68525,23.229,,<,?,Uncertain (No TTHM Data)
090400692,0.9802,0.9802,,<,?,Uncertain (No TTHM Data)
090400693,27.122875,31.919875,,<,?,Uncertain (No TTHM Data)
090407149,2.233,3.7255,,<,?,Uncertain (No TTHM Data)
090600158,5.03,12.41,,<,?,Uncertain (No TTHM Data)
090605012,0.795,1.03,,<,?,Uncertain (No TTHM Data)
090605013,4.615,7.115,,<,?,Uncertain (No TTHM Data)
090605153,3.26,5.095,,<,?,Uncertain (No TTHM Data)
093534024,0.9215,1.38225,,<,?,Uncertain (No TTHM Data)
105300116,34.3575,35.53,,<,?,Uncertain (No TTHM Data)
AK2110342,7.1170625,7.1170625,7.77875,<,<,No Violation
AK2130075,29.6975,32.45375,23.3775,<,<,No Violation
AK2130148,23.30875,23.31275,38.8925,<,<,No Violation
AK2210906,5.80183333333333,5.91548333333333,8.475,<,<,No Violation
AK2211423,13.5408333333333,13.80305,19.56,<,<,No Violation
AK2211431,0.495,1.805,10.01,<,<,No Violation
AK2212039,12.543125,12.8231375,15.1333333333333,<,<,No Violation
AK2224646,6.4672,9.214775,17.98625,<,<,No Violation
AK2240448,24.6,26.55,35.2,<,<,No Violation
AK2310730,22.3975,23.775475,44.745,<,<,No Violation
AK2310900,24.89925,26.285875,61.935,<,<,No Violation
AK2310918,32.54725,34.054275,55.43625,<,<,No Violation
AL0000001,0.444625,0.444625,0.0,<,<,No Violation
AL0000017,0.3383,0.3383,3.70625,<,<,No Violation
AL0000023,1.9,2.51,0.5,<,<,No Violation
AL0000029,0.73475,1.10725,2.31625,<,<,No Violation
AL0000035,0.7735,1.928,1.66166666666667,<,<,No Violation
AL0000036,2.1515,2.7915,6.99625,<,<,No Violation
AL0000038,2.63575,5.29425,7.397875,<,<,No Violation
AL0000053,3.082125,6.785275,13.68125,<,<,No Violation
AL0000085,2.05675,3.451,15.7775,<,<,No Violation
AL0000103,20.366125,24.824375,43.8275,<,<,No Violation
AL0000118,0.0877166666666667,0.0877166666666667,2.1755,<,<,No Violation
AL0000131,1.81925,3.03925,2.88375,<,<,No Violation
AL0000133,21.408,23.929,25.58875,<,<,No Violation
AL0000154,1.673,2.50266666666667,7.90125,<,<,No Violation
AL0000162,0.644375,0.929125,15.35,<,<,No Violation
AL0000174,30.93375,39.79125,56.6225,<,<,No Violation
AL0000178,48.49676875,55.68204375,68.1225,<,<,No Violation
AL0000180,26.85475,34.486375,74.72375,<,<,No Violation
AL0000189,1.68275,2.29575,1.972375,<,<,No Violation
AL0000213,30.3102375,36.6652625,45.535,<,<,No Violation
AL0000234,3.3165,4.60375,18.640125,<,<,No Violation
AL0000296,0.97275,1.691,3.6,<,<,No Violation
AL0000302,0.7136,1.200275,6.24,<,<,No Violation
AL0000314,41.7028333333333,49.9366666666667,48.79375,<,<,No Violation
AL0000321,33.6325375,42.8000125,37.665,<,<,No Violation
AL0000327,36.9122,45.3938625,61.535,<,<,No Violation
AL0000331,9.975975,16.8173,55.875,<,<,No Violation
AL0000356,6.7635,15.6135,37.075,<,<,No Violation
AL0000361,4.7445,7.8875,26.38875,<,<,No Violation
AL0000394,42.975825,48.4598125,47.26,<,<,No Violation
AL0000397,1.2295,2.175,6.035,<,<,No Violation
AL0000402,46.598875,51.491625,41.215,<,<,No Violation
AL0000413,7.7273,13.9937625,46.69125,<,<,No Violation
AL0000441,3.398,6.34875,19.39525,<,<,No Violation
AL0000490,1.1845,1.7485,10.4465,<,<,No Violation
AL0000509,14.719625,17.810375,45.92,<,<,No Violation
AL0000535,10.4688625,12.8219375,47.1175,<,<,No Violation
AL0000539,20.715,23.9695,42.8,<,<,No Violation
AL0000547,25.269625,29.275125,70.73,<,<,No Violation
AL0000549,27.4275,32.631,45.26,<,<,No Violation
AL0000551,55.8955,61.0655,92.6625,<,>=,Violation
AL0000553,1.126725,1.55045,2.74,<,<,No Violation
AL0000561,0.285,0.4275,0.0,<,<,No Violation
AL0000577,17.365625,24.66495,26.385,<,<,No Violation
AL0000588,0.70375,0.8695,12.5825,<,<,No Violation
AL0000591,3.83775,5.286875,6.475,<,<,No Violation
AL0000607,4.623,7.65025,9.3475,<,<,No Violation
AL0000610,50.9185,54.6571666666667,44.47875,<,<,No Violation
AL0000624,0.627,1.0165,0.0,<,<,No Violation
AL0000663,0.90125,1.447,2.66,<,<,No Violation
AL0000671,3.04275,4.2475,5.795,<,<,No Violation
AL0000681,0.7325,1.5625,4.695,<,<,No Violation
AL0000728,25.033275,32.594025,42.355,<,<,No Violation
AL0000729,42.014375,48.735625,55.025,<,<,No Violation
AL0000737,16.2945125,21.80605,65.6075,<,<,No Violation
AL0000738,25.529025,31.021575,60.318125,<,<,No Violation
AL0000753,2.957,4.16275,9.27,<,<,No Violation
AL0000761,1.552,2.91725,11.39625,<,<,No Violation
AL0000763,34.9425,44.122125,61.18,<,<,No Violation
AL0000783,24.6376666666667,28.8188333333333,48.73125,<,<,No Violation
AL0000794,31.3965,35.1525,53.83875,<,<,No Violation
AL0000801,52.78375,56.403875,41.5575,<,<,No Violation
AL0000804,41.35975,48.320625,68.86,<,<,No Violation
AL0000814,38.1055,43.388625,57.0525,<,<,No Violation
AL0000816,46.5090375,55.295975,88.96625,<,>=,Violation
AL0000820,30.5166,39.8865,47.395,<,<,No Violation
AL0000824,51.663225,58.598775,49.84875,<,<,No Violation
AL0000833,46.84275,52.1145,58.0175,<,<,No Violation
AL0000870,58.5629333333333,65.2943333333333,116.3875,<,>=,Violation
AL0000878,2.217175,3.7166375,8.02,<,<,No Violation
AL0000882,30.62214,35.80216,43.935,<,<,No Violation
AL0000885,39.4335,45.75815,59.14,<,<,No Violation
AL0000888,50.604,58.343,50.8325,<,<,No Violation
AL0000899,37.688725,42.6048,50.76875,<,<,No Violation
AL0000908,8.29325,16.287,27.79125,<,<,No Violation
AL0000926,56.275125,60.521925,43.105,<,<,No Violation
AL0000933,48.1353333333333,55.9473333333333,49.64,<,<,No Violation
AL0000934,17.015375,22.9045,46.09,<,<,No Violation
AL0000936,60.99365,69.6339166666667,69.58875,>=,<,Violation
AL0000940,2.374,3.666,11.4795,<,<,No Violation
AL0000943,33.8915,40.8056666666667,32.715,<,<,No Violation
AL0000945,36.668375,41.931625,48.41875,<,<,No Violation
AL0000951,12.5445,17.385875,29.9275,<,<,No Violation
AL0000967,21.9195,31.622,0.0,<,<,No Violation
AL0001002,26.2793,50.96455,77.65,<,<,No Violation
AL0001005,35.7273625,43.159925,43.86875,<,<,No Violation
AL0001015,35.5436666666667,43.492,54.965,<,<,No Violation
AL0001021,0.4253,0.76475,0.87125,<,<,No Violation
AL0001070,31.4662125,37.6504625,41.54325,<,<,No Violation
AL0001078,4.14575,5.52925,8.93,<,<,No Violation
AL0001084,33.0435,40.973875,34.48,<,<,No Violation
AL0001086,33.9298333333333,42.7068333333333,33.3975,<,<,No Violation
AL0001088,49.57625,56.416875,42.7225,<,<,No Violation
AL0001092,6.06585,11.4403125,19.14,<,<,No Violation
AL0001100,1.47975,1.988,1.29,<,<,No Violation
AL0001106,4.91225,9.85225,6.58,<,<,No Violation
AL0001120,2.657425,4.05625,13.5155,<,<,No Violation
AL0001124,2.6209,4.0049,10.550625,<,<,No Violation
AL0001137,2.5595,3.8475,3.69375,<,<,No Violation
AL0001142,29.8730875,38.423425,55.61375,<,<,No Violation
AL0001145,22.192,30.125625,29.42125,<,<,No Violation
AL0001148,27.7152125,34.316725,53.5,<,<,No Violation
AL0001150,7.440125,10.58475,12.9475,<,<,No Violation
AL0001151,3.29525,4.72875,13.20125,<,<,No Violation
AL0001157,33.6425,40.751625,56.915,<,<,No Violation
AL0001163,29.089,35.94925,50.085,<,<,No Violation
AL0001203,21.7293333333333,27.7281666666667,38.05875,<,<,No Violation
AL0001204,26.0998333333333,32.1533333333333,49.075,<,<,No Violation
AL0001222,0.1932,0.359866666666667,12.174875,<,<,No Violation
AL0001258,40.3213,43.036,40.28375,<,<,No Violation
AL0001260,27.3775,30.699875,35.71625,<,<,No Violation
AL0001265,28.9909875,33.5863125,64.63,<,<,No Violation
AL0001288,35.13375,39.576125,55.67875,<,<,No Violation
AL0001293,33.211875,38.05525,40.67375,<,<,No Violation
AL0001307,57.119625,63.28475,72.71,<,<,No Violation
AL0001313,40.7296833333333,47.05855,52.07625,<,<,No Violation
AL0001336,30.7163333333333,34.0776666666667,34.7975,<,<,No Violation
AL0001411,32.2145,35.5825,46.69625,<,<,No Violation
AL0001422,29.9916666666667,36.8431666666667,52.7,<,<,No Violation
AL0001432,30.8012625,35.3057125,50.6225,<,<,No Violation
AL0001489,1.2475,1.6655,5.875,<,<,No Violation
AL0001507,7.227525,13.3716,107.355,<,>=,Violation
AL0001512,0.646,0.646,5.56,<,<,No Violation
AL0001516,2.408,3.23475,8.1675,<,<,No Violation
AL0001540,57.6176666666667,64.6366666666667,51.5125,<,<,No Violation
AL0001671,46.6290875,54.6303125,55.235,<,<,No Violation
AL0001716,42.911,47.1405,44.65,<,<,No Violation
AL0001783,3.4641125,5.757475,8.44,<,<,No Violation
AL0001786,38.9223875,43.9735125,52.0525,<,<,No Violation
AL0001796,80.3666666666667,91.1035,60.74,>=,<,Violation
AR0000002,0.27,0.27,0.0,<,<,No Violation
AR0000004,2.053,2.977,25.8,<,<,No Violation
AR0000025,43.5507125,49.2423,46.74875,<,<,No Violation
AR0000039,45.15735,49.5088375,73.39375,<,<,No Violation
AR0000041,38.2931375,43.433025,54.2825,<,<,No Violation
AR0000044,54.5041666666667,59.5687166666667,61.9675,<,<,No Violation
AR0000055,40.13976,45.15316,62.3275,<,<,No Violation
AR0000056,30.9264625,41.2750625,45.24125,<,<,No Violation
AR0000062,32.042775,32.8673833333333,54.7225,<,<,No Violation
AR0000085,38.072,43.0906875,68.01125,<,<,No Violation
AR0000090,1.565,3.375,16.6,<,<,No Violation
AR0000101,40.4732166666667,43.7881166666667,59.58625,<,<,No Violation
AR0000104,33.235325,36.7893375,37.30625,<,<,No Violation
AR0000109,15.9625875,24.933775,94.62625,<,>=,Violation
AR0000119,30.368,34.621125,76.4933333333333,<,<,No Violation
AR0000124,1.760975,2.61055,6.075,<,<,No Violation
AR0000142,28.2183666666667,33.9298166666667,56.66625,<,<,No Violation
AR0000152,5.03235,6.123375,7.805,<,<,No Violation
AR0000156,2.4525,3.3465,22.6,<,<,No Violation
AR0000184,3.710925,5.24195,3.95,<,<,No Violation
AR0000185,32.51875,38.4580166666667,45.235,<,<,No Violation
AR0000189,34.7469875,40.0787,62.6475,<,<,No Violation
AR0000195,30.968175,34.0537,68.97875,<,<,No Violation
AR0000208,37.8069,42.1309,78.1025,<,<,No Violation
AR0000209,40.3261833333333,44.2508,88.055,<,>=,Violation
AR0000217,40.3675,44.35125,53.25125,<,<,No Violation
AR0000222,4.2575,6.6495,26.3,<,<,No Violation
AR0000230,61.0886125,76.7341375,120.25625,>=,>=,Violation
AR0000237,30.614575,35.256525,61.23125,<,<,No Violation
AR0000250,24.7475,29.9147,54.74875,<,<,No Violation
AR0000265,5.8,13.6,31.6,<,<,No Violation
AR0000272,0.400025,0.57055,3.095,<,<,No Violation
AR0000279,1.12,1.92,8.2,<,<,No Violation
AR0000338,9.0126,12.3486625,34.285,<,<,No Violation
AR0000360,56.1563875,65.9449375,52.14875,<,<,No Violation
AR0000365,2.034625,2.577575,6.0775,<,<,No Violation
AR0000404,37.318125,45.6798375,45.34375,<,<,No Violation
AR0000415,2.58,3.23,11.9,<,<,No Violation
AR0000437,21.725,24.91,46.7,<,<,No Violation
AR0000446,58.5111333333333,62.5944666666667,70.2,<,<,No Violation
AR0000449,16.478,27.0205,69.9425,<,<,No Violation
AR0000465,29.7491125,33.6580375,63.33625,<,<,No Violation
AR0000466,33.2161,36.9718333333333,64.84625,<,<,No Violation
AR0000484,19.9317,25.01715,57.89,<,<,No Violation
AR0000486,21.9800625,25.349175,65.3875,<,<,No Violation
AR0000492,28.2864875,32.0763,56.785,<,<,No Violation
AR0000493,13.2585375,15.29895,60.295,<,<,No Violation
AR0000498,23.32375,26.6405,53.5225,<,<,No Violation
AR0000507,22.537925,25.9960875,47.2,<,<,No Violation
AR0000513,18.9089375,21.7015625,72.7275,<,<,No Violation
AR0000527,3.7605,5.0185,0.0,<,<,No Violation
AR0000550,9.292575,20.4835,63.90125,<,<,No Violation
AR0000569,32.3616375,36.0384125,63.22625,<,<,No Violation
AR0000573,34.381,39.082625,70.27125,<,<,No Violation
AR0000574,47.0533,53.0367,84.29125,<,>=,Violation
AR0000575,38.3592,42.3959875,68.7125,<,<,No Violation
AR0000579,29.875,33.571225,39.45,<,<,No Violation
AR0000584,22.275,26.325,35.2,<,<,No Violation
AR0000590,31.8449875,36.7945875,59.01125,<,<,No Violation
AR0000690,25.0335,29.11225,61.59375,<,<,No Violation
AR0000697,42.011625,48.089625,72.5825,<,<,No Violation
AR0000714,2.245,4.49,7.1,<,<,No Violation
AR0000725,19.2862625,22.4984375,47.0175,<,<,No Violation
AR0000734,3.225575,4.1393875,1.425,<,<,No Violation
AR0000738,2.6365,4.792,14.65,<,<,No Violation
AR0000782,55.3538125,59.7136875,75.2525,<,<,No Violation
AR0000821,37.6522375,41.5861625,45.02,<,<,No Violation
AZ0401004,2.402,4.63875,19.0,<,<,No Violation
AZ0402010,0.30875,0.48925,4.37,<,<,No Violation
AZ0402014,1.06475,1.43705,9.17,<,<,No Violation
AZ0402078,1.745775,2.591125,3.06,<,<,No Violation
AZ0403003,0.82965,1.2487,1.36375,<,<,No Violation
AZ0403008,23.350125,27.7795,29.4625,<,<,No Violation
AZ0403702,22.05155,26.281025,53.74125,<,<,No Violation
AZ0404032,1.12116666666667,2.686,6.15,<,<,No Violation
AZ0404034,5.4775,8.16725,3.09,<,<,No Violation
AZ0405005,3.8922,6.20285,23.15,<,<,No Violation
AZ0407017,17.2843875,28.6121375,77.08875,<,<,No Violation
AZ0407025,12.1746375,25.1538375,54.9875,<,<,No Violation
AZ0407033,0.78225,1.1585,7.0045,<,<,No Violation
AZ0407046,3.517725,4.6981,11.2,<,<,No Violation
AZ0407056,1.463875,1.696625,10.0,<,<,No Violation
AZ0407078,4.1565,8.2685,31.8925,<,<,No Violation
AZ0407088,3.6717,5.000325,19.425,<,<,No Violation
AZ0407090,35.189625,57.898375,90.9375,<,>=,Violation
AZ0407091,0.81635,1.225625,1.8725,<,<,No Violation
AZ0407092,24.949,41.58425,52.025,<,<,No Violation
AZ0407093,16.026,31.9975,62.20875,<,<,No Violation
AZ0407094,5.0215,8.45775,48.9375,<,<,No Violation
AZ0407095,36.805625,55.496,67.8175,<,<,No Violation
AZ0407096,24.0748333333333,43.5981666666667,74.47125,<,<,No Violation
AZ0407098,11.48775,23.736375,57.135,<,<,No Violation
AZ0407099,0.995775,1.3981,1.85,<,<,No Violation
AZ0407100,19.704125,38.76625,70.95,<,<,No Violation
AZ0407120,1.88295,2.037325,5.6,<,<,No Violation
AZ0407150,1.7255,2.2385,5.6,<,<,No Violation
AZ0407154,1.4565,2.21725,9.9225,<,<,No Violation
AZ0407406,16.555,18.93,42.0,<,<,No Violation
AZ0407500,1.7957,2.421225,14.04375,<,<,No Violation
AZ0407504,17.9705,30.589625,56.385,<,<,No Violation
AZ0407520,2.188,7.2605,14.55,<,<,No Violation
AZ0407522,7.870125,13.636875,25.95,<,<,No Violation
AZ0407523,0.4,0.64,13.73,<,<,No Violation
AZ0407531,0.7795,1.1044,3.74,<,<,No Violation
AZ0407695,19.24515,28.9431833333333,60.48625,<,<,No Violation
AZ0408020,0.5655,0.5655,6.0425,<,<,No Violation
AZ0408022,10.795825,22.960825,68.1625,<,<,No Violation
AZ0408032,1.752175,2.3673,12.825,<,<,No Violation
AZ0408062,0.31,0.31,4.245,<,<,No Violation
AZ0408063,4.85475,9.791,0.0,<,<,No Violation
AZ0409003,1.097075,1.7421,5.365,<,<,No Violation
AZ0409004,0.746975,1.184975,4.07625,<,<,No Violation
AZ0409023,1.355,3.675,0.7925,<,<,No Violation
AZ0409026,0.178125,0.178125,0.0,<,<,No Violation
AZ0409308,0.0,0.0,0.0,<,<,No Violation
AZ0410004,1.1511,1.6222,6.625,<,<,No Violation
AZ0410041,3.111,4.592825,20.31875,<,<,No Violation
AZ0410051,0.800975,0.800975,5.46,<,<,No Violation
AZ0410076,0.905,2.8615,6.22375,<,<,No Violation
AZ0410112,4.17275,8.31725,19.82,<,<,No Violation
AZ0410164,0.90455,1.63115,14.29875,<,<,No Violation
AZ0410312,0.8977,1.2264,3.25,<,<,No Violation
AZ0411004,4.061325,6.42465,22.47875,<,<,No Violation
AZ0411009,4.4879,5.928075,37.66,<,<,No Violation
AZ0411012,1.0515,1.3365,12.445,<,<,No Violation
AZ0411017,2.82425,4.176725,12.35,<,<,No Violation
AZ0411039,17.9668833333333,31.4322833333333,84.5825,<,>=,Violation
AZ0411117,2.31665,4.978775,13.28,<,<,No Violation
AZ0411128,1.3756,1.3756,4.66875,<,<,No Violation
AZ0411131,4.68283333333333,7.664,23.37625,<,<,No Violation
AZ0412004,1.8275,3.1039,9.46375,<,<,No Violation
AZ0412011,1.891,2.96025,11.62,<,<,No Violation
AZ0412037,1.23,2.24,11.785,<,<,No Violation
AZ0413025,1.0905,1.79825,1.235,<,<,No Violation
AZ0413045,0.7168,1.069725,14.4,<,<,No Violation
AZ0413048,2.77525,3.11525,8.27125,<,<,No Violation
AZ0413106,0.54475,0.54475,0.0,<,<,No Violation
AZ0414004,26.5033333333333,44.6883333333333,81.9625,<,>=,Violation
AZ0414005,10.66725,25.71225,71.96375,<,<,No Violation
AZ0414015,5.0375,10.9475,44.4875,<,<,No Violation
AZ0414024,14.81175,29.82175,67.2125,<,<,No Violation
AZ0420423,0.989799999999999,1.10705,8.87625,<,<,No Violation
AZ0420549,1.25785,2.123125,15.0,<,<,No Violation
CA0110001,22.790875,26.126,45.65,<,<,No Violation
CA0110003,12.19775,22.769,51.325,<,<,No Violation
CA0110005,48.0785,54.8705,,<,?,Uncertain (No TTHM Data)
CA0110006,33.645,35.2183333333333,38.76375,<,<,No Violation
CA0110008,12.4945,23.08825,64.311125,<,<,No Violation
CA0110009,6.838125,14.7075,32.08375,<,<,No Violation
CA0110011,13.3317,26.9928666666667,,<,?,Uncertain (No TTHM Data)
CA0310020,12.5975,12.889875,39.6875,<,<,No Violation
CA0400070,0.393,0.70525,,<,?,Uncertain (No TTHM Data)
CA0410002,0.17,0.3325,1.49875,<,<,No Violation
CA0410006,18.65625,19.882,26.0225,<,<,No Violation
CA0410007,23.52875,25.717375,35.9333333333333,<,<,No Violation
CA0410011,13.72975,15.06075,22.0375,<,<,No Violation
CA0510001,22.76125,23.3115,96.872625,<,>=,Violation
CA0510006,35.3975,41.419875,59.2125,<,<,No Violation
CA0510016,43.2425,44.201625,90.7375,<,>=,Violation
CA0610002,0.0,0.0,2.0,<,<,No Violation
CA0710001,6.2586625,10.9685,65.0,<,<,No Violation
CA0710002,7.10883333333333,12.9341666666667,14.7,<,<,No Violation
CA0710003,9.6863125,16.07775,23.05,<,<,No Violation
CA0710004,6.01475,10.818625,,<,?,Uncertain (No TTHM Data)
CA0710006,2.996125,4.634375,,<,?,Uncertain (No TTHM Data)
CA0710007,6.6283375,11.3988875,11.5033333333333,<,<,No Violation
CA0710008,6.86875,14.09625,56.9875,<,<,No Violation
CA0710009,8.60925,25.38575,84.5,<,>=,Violation
CA0810001,14.25,16.7,30.0,<,<,No Violation
CA0910001,43.4675,44.968875,64.9875,<,<,No Violation
CA0910002,0.37275,1.8025,,<,?,Uncertain (No TTHM Data)
CA1010003,14.8983333333333,15.934,60.4,<,<,No Violation
CA1010004,12.011625,24.558125,57.35,<,<,No Violation
CA1010007,5.53125,6.4445,17.2625,<,<,No Violation
CA1010018,0.0,0.0,0.119,<,<,No Violation
CA1010021,5.36575,16.23175,49.8,<,<,No Violation
CA1010024,0.3565,0.3565,1.719375,<,<,No Violation
CA1010025,0.60575,0.60575,0.7,<,<,No Violation
CA1010027,0.0,0.0,1.1,<,<,No Violation
CA1010029,1.08775,3.17275,3.42,<,<,No Violation
CA1010034,2.995,6.285,3.7,<,<,No Violation
CA1010339,0.0,0.0,27.55,<,<,No Violation
CA1210001,5.459525,7.359675,17.4,<,<,No Violation
CA1210004,6.7675,9.376,,<,?,Uncertain (No TTHM Data)
CA1210006,1.815,4.25,8.3,<,<,No Violation
CA1210009,4.56425,6.45475,18.6675,<,<,No Violation
CA1210013,7.7825,9.7985,7.85,<,<,No Violation
CA1210016,6.8,9.105,27.0,<,<,No Violation
CA1310001,20.837625,37.626875,67.00375,<,<,No Violation
CA1310002,28.54275,47.8915,91.9375,<,>=,Violation
CA1310004,21.86875,37.88625,64.8725,<,<,No Violation
CA1310006,31.87275,48.22525,91.2755,<,>=,Violation
CA1503341,7.1585,15.499625,80.1335,<,>=,Violation
CA1510001,0.55385,0.57635,6.83,<,<,No Violation
CA1510003,53.7745,62.807,64.3075,<,<,No Violation
CA1510005,5.5655,12.175,32.25,<,<,No Violation
CA1510006,46.559625,62.913,56.1333333333333,<,<,No Violation
CA1510012,1.41175,2.079,8.69125,<,<,No Violation
CA1510013,4.701,6.0525,14.99375,<,<,No Violation
CA1510015,51.31175,65.26875,64.06375,<,<,No Violation
CA1510017,1.42975,2.3085,12.125,<,<,No Violation
CA1510018,0.232,0.232,9.5225,<,<,No Violation
CA1510019,4.29975,6.0025,24.0875,<,<,No Violation
CA1510021,0.9005,1.2885,11.71875,<,<,No Violation
CA1510022,28.004,30.14175,26.3,<,<,No Violation
CA1510024,0.0,0.0,2.755,<,<,No Violation
CA1510029,1.54675,2.50725,11.825,<,<,No Violation
CA1510031,23.882,31.356375,42.05625,<,<,No Violation
CA1510032,2.226625,3.220875,16.8325,<,<,No Violation
CA1510055,26.27575,30.60675,54.1175,<,<,No Violation
CA1510701,8.41625,13.752875,66.4625,<,<,No Violation
CA1610002,16.73275,43.3165,78.5875,<,<,No Violation
CA1610003,11.501,28.206,81.0333333333333,<,>=,Violation
CA1610004,9.76125,17.08125,37.8833333333333,<,<,No Violation
CA1610005,41.72,95.89,183.5,<,>=,Violation
CA1610700,9.897125,23.049625,78.84375,<,<,No Violation
CA1710006,18.396125,28.58275,46.991125,<,<,No Violation
CA1805007,0.666,1.49,0.0,<,<,No Violation
CA1910001,8.3935,14.290875,31.225,<,<,No Violation
CA1910003,2.6735,4.4505,16.16875,<,<,No Violation
CA1910004,5.16025,12.875,21.075,<,<,No Violation
CA1910005,0.963025,1.7937,27.54875,<,<,No Violation
CA1910007,15.84825,28.26725,63.3125,<,<,No Violation
CA1910009,0.53375,0.69725,8.90375,<,<,No Violation
CA1910011,7.41283333333333,17.1176666666667,34.975,<,<,No Violation
CA1910013,0.37325,0.37325,2.51125,<,<,No Violation
CA1910017,17.6224166666667,36.30925,54.75,<,<,No Violation
CA1910019,2.444625,4.881,18.042375,<,<,No Violation
CA1910020,3.10175,5.47675,13.545,<,<,No Violation
CA1910021,2.7265,4.842,33.97875,<,<,No Violation
CA1910022,9.240125,19.181375,79.3333333333333,<,<,No Violation
CA1910024,21.87,41.62625,44.4875,<,<,No Violation
CA1910026,6.02125,10.921375,35.805,<,<,No Violation
CA1910028,14.020125,28.711875,66.6,<,<,No Violation
CA1910030,5.47983333333333,12.1538333333333,18.05,<,<,No Violation
CA1910033,17.13375,26.731,62.94375,<,<,No Violation
CA1910036,6.695875,11.646375,26.457,<,<,No Violation
CA1910038,0.35375,0.563,4.162125,<,<,No Violation
CA1910039,1.48375,2.6375,2.8975,<,<,No Violation
CA1910040,7.58925,13.721625,27.54375,<,<,No Violation
CA1910042,3.10375,6.1825,14.5975,<,<,No Violation
CA1910043,9.13825,16.86,26.9875,<,<,No Violation
CA1910044,8.507375,14.008625,53.225,<,<,No Violation
CA1910047,11.099125,22.151625,116.1705,<,>=,Violation
CA1910049,6.35875,11.24375,38.2,<,<,No Violation
CA1910050,3.191625,6.546,28.0,<,<,No Violation
CA1910051,11.643125,29.123875,83.8625,<,>=,Violation
CA1910052,9.010125,13.1865,33.70375,<,<,No Violation
CA1910059,17.7975,30.4825,61.825,<,<,No Violation
CA1910062,11.816,21.40575,44.3,<,<,No Violation
CA1910063,8.1303,12.1381,45.7275,<,<,No Violation
CA1910065,11.09775,18.4555,41.455,<,<,No Violation
CA1910067,10.3522,18.74835,27.3225,<,<,No Violation
CA1910070,8.98433333333333,21.8643333333333,65.3625,<,<,No Violation
CA1910072,1.234875,1.759,4.45333333333333,<,<,No Violation
CA1910073,6.570125,10.6095,61.07,<,<,No Violation
CA1910077,1.15566666666667,2.83083333333333,12.5066666666667,<,<,No Violation
CA1910079,1.64066666666667,2.91083333333333,13.2275,<,<,No Violation
CA1910083,11.727,23.0665,46.12625,<,<,No Violation
CA1910090,1.797,2.50825,18.275,<,<,No Violation
CA1910091,2.93525,4.71175,23.2125,<,<,No Violation
CA1910092,0.80925,1.09925,0.0,<,<,No Violation
CA1910096,5.373625,10.342875,18.505,<,<,No Violation
CA1910098,6.586375,13.675125,34.0,<,<,No Violation
CA1910101,2.558,4.06525,14.24375,<,<,No Violation
CA1910102,7.75625,19.12175,69.15,<,<,No Violation
CA1910104,8.30675,16.43225,28.27,<,<,No Violation
CA1910105,1.3185,2.262,23.9325,<,<,No Violation
CA1910108,3.7035,6.538625,23.9,<,<,No Violation
CA1910124,13.691875,24.075625,27.0825,<,<,No Violation
CA1910125,1.07475,1.44375,6.5075,<,<,No Violation
CA1910126,12.00325,21.67155,28.75,<,<,No Violation
CA1910127,19.54175,28.703625,50.3,<,<,No Violation
CA1910130,11.107,27.834375,66.1775,<,<,No Violation
CA1910134,8.4428,16.5622,31.389,<,<,No Violation
CA1910139,3.460375,5.052625,17.2925,<,<,No Violation
CA1910142,14.6175,23.08975,52.2125,<,<,No Violation
CA1910143,1.8255,3.23025,14.74625,<,<,No Violation
CA1910144,0.8845,1.37625,4.9775,<,<,No Violation
CA1910146,4.2755,7.650125,30.18625,<,<,No Violation
CA1910148,1.95075,2.93475,11.09375,<,<,No Violation
CA1910149,7.038125,12.0365,27.8,<,<,No Violation
CA1910152,1.25375,2.5925,9.6775,<,<,No Violation
CA1910154,0.81925,1.103,41.675,<,<,No Violation
CA1910155,13.18775,21.8485,33.4875,<,<,No Violation
CA1910156,10.1383333333333,21.2548333333333,36.19,<,<,No Violation
CA1910157,0.99725,1.5005,6.03375,<,<,No Violation
CA1910159,0.96275,0.96275,5.8425,<,<,No Violation
CA1910161,2.144,4.736625,24.3,<,<,No Violation
CA1910167,1.16975,1.995,28.06625,<,<,No Violation
